Objects
100
,,Global Angle dogger:dogger,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.047854,0.092403,1.652353,85.784477,383.497040,123.896706
2,0,-0.047479,0.091265,1.652237,85.804695,383.502930,123.988098
3,0,-0.047761,0.092895,1.652369,85.781853,383.494446,123.852135
4,0,-0.047606,0.091544,1.652291,85.787895,383.504883,123.949829
5,0,-0.048042,0.092581,1.651902,85.822899,383.490875,123.873726
6,0,-0.048563,0.092812,1.652413,85.778381,383.486877,123.858368
7,0,-0.048979,0.093840,1.652164,85.798897,383.471375,123.788521
8,0,-0.046317,0.091277,1.652248,85.818382,383.498505,124.040894
9,0,-0.049316,0.093725,1.652358,85.781685,383.477448,123.738762
10,0,0.000912,0.018969,1.648183,86.381149,383.922607,130.838379
11,0,0.000703,0.018998,1.648148,86.388351,383.917908,130.847198
12,0,0.000739,0.019051,1.648145,86.381065,383.926086,130.868622
13,0,0.000620,0.018988,1.648193,86.387283,383.922760,130.862274
14,0,0.000787,0.019079,1.648134,86.393295,383.919403,130.854706
15,0,0.000734,0.018988,1.648138,86.386383,383.918579,130.829819
16,0,0.000767,0.019134,1.648202,86.384163,383.919525,130.836990
17,0,0.000479,0.018749,1.648177,86.385910,383.916931,130.865814
18,0,0.000867,0.019025,1.648190,86.381607,383.913055,130.871063
19,0,0.000655,0.018966,1.648125,86.386421,383.911896,130.854904
20,0,0.000772,0.019055,1.648125,86.385437,383.907959,130.852097
21,0,0.000893,0.019195,1.648113,86.385979,383.924286,130.838425
22,0,0.000739,0.019081,1.648147,86.385117,383.923218,130.835510
23,0,0.000709,0.019120,1.648120,86.383026,383.922668,130.848953
24,0,0.000794,0.019082,1.648148,86.379829,383.920319,130.874481
25,0,0.000687,0.018937,1.648165,86.384941,383.915039,130.881302
26,0,0.000889,0.019215,1.648136,86.387550,383.913818,130.865265
27,0,0.001125,0.019327,1.648228,86.399437,383.914734,130.830307
28,0,0.000780,0.019019,1.648173,86.389969,383.925690,130.822937
29,0,0.000779,0.019242,1.648086,86.388947,383.922699,130.825928
30,0,0.000658,0.018955,1.648167,86.384842,383.925690,130.862442
31,0,0.000744,0.018975,1.648198,86.377853,383.920105,130.881485
32,0,0.000896,0.019173,1.648126,86.379349,383.916504,130.869812
33,0,0.000631,0.018878,1.648205,86.384041,383.915894,130.850113
34,0,0.000580,0.018855,1.648145,86.381889,383.922150,130.852554
35,0,0.000662,0.018936,1.648161,86.377632,383.924347,130.850006
36,0,0.000525,0.018780,1.648181,86.377037,383.920166,130.842804
37,0,0.000999,0.019207,1.648158,86.386940,383.905548,130.852615
38,0,0.000835,0.018954,1.648172,86.378914,383.919586,130.832535
39,0,0.000771,0.019047,1.648175,86.379936,383.924713,130.847687
40,0,0.000761,0.019099,1.648157,86.376762,383.922363,130.850220
41,0,0.000428,0.018832,1.648166,86.376602,383.925049,130.863770
42,0,0.000842,0.019174,1.648185,86.381882,383.921906,130.841248
43,0,0.000532,0.018983,1.648135,86.385956,383.910950,130.852203
44,0,0.000784,0.019076,1.648173,86.379257,383.915558,130.861618
45,0,0.001115,0.019326,1.648262,86.388397,383.917511,130.855881
46,0,0.000736,0.018893,1.648168,86.385880,383.920105,130.858917
47,0,0.000625,0.018863,1.648129,86.387794,383.919281,130.845673
48,0,0.000703,0.018961,1.648079,86.380638,383.916870,130.846512
49,0,0.000558,0.018952,1.648090,86.378525,383.910339,130.861633
50,0,0.000655,0.018959,1.648220,86.377655,383.909760,130.853973
51,0,0.000584,0.018840,1.648182,86.386841,383.914764,130.847855
52,0,0.000833,0.019109,1.648123,86.391479,383.925995,130.861069
53,0,0.000772,0.019157,1.648175,86.383850,383.939392,130.861588
54,0,0.000755,0.019040,1.648185,86.379822,383.923798,130.852371
55,0,0.000586,0.018917,1.648112,86.381470,383.915314,130.864929
56,0,0.000525,0.018985,1.648115,86.385979,383.910980,130.850555
57,0,0.000896,0.019139,1.648095,86.387222,383.915833,130.840424
58,0,0.000460,0.018830,1.648128,86.384293,383.911469,130.854813
59,0,0.000819,0.019103,1.648143,86.384254,383.916229,130.853149
60,0,0.000983,0.019115,1.648192,86.398277,383.921967,130.864029
61,0,0.000709,0.018985,1.648074,86.380432,383.920868,130.868820
62,0,0.000655,0.018990,1.648198,86.392609,383.923706,130.851883
63,0,0.000688,0.018987,1.648132,86.391556,383.912109,130.852386
64,0,0.000556,0.018879,1.648147,86.392082,383.912201,130.859314
65,0,0.000544,0.018937,1.648109,86.385117,383.915436,130.854614
66,0,0.000843,0.019182,1.648111,86.385277,383.916199,130.855179
67,0,0.000658,0.019072,1.648116,86.385780,383.910309,130.859222
68,0,0.000880,0.019253,1.648130,86.387047,383.922485,130.859833
69,0,0.000647,0.018991,1.648159,86.397125,383.911804,130.865509
70,0,0.000800,0.019072,1.648169,86.394241,383.914795,130.844574
71,0,0.000966,0.019204,1.648182,86.392784,383.916718,130.849869
72,0,0.000833,0.019111,1.648168,86.385170,383.916351,130.850800
73,0,0.000781,0.019148,1.648153,86.379837,383.926666,130.856323
74,0,0.000823,0.019086,1.648195,86.384811,383.928558,130.847107
