Objects
100
,,Global Angle dogger2:dogger2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.002838,-0.000175,-0.007904,-7.519112,18.573601,325.876617
2,0,-0.002599,-0.000060,-0.007936,-7.528128,18.570702,325.832153
3,0,-0.002529,-0.000150,-0.007839,-7.563577,18.546633,325.690826
4,0,-0.003086,-0.000139,-0.007830,-7.583975,18.511074,325.558258
5,0,-0.002673,-0.000103,-0.007813,-7.584492,18.502422,325.532043
6,0,-0.002869,-0.000100,-0.007831,-7.546872,18.535164,325.646942
7,0,-0.002825,-0.000098,-0.007830,-7.517889,18.570875,325.831604
8,0,-0.002997,-0.000170,-0.007741,-7.503783,18.601917,325.964081
9,0,-0.002925,-0.000092,-0.007824,-7.521243,18.602972,325.926056
10,0,-0.003090,-0.000041,-0.007885,-7.537441,18.576265,325.778259
11,0,-0.002636,-0.000057,-0.007953,-7.538640,18.536449,325.593384
12,0,-0.002999,0.000039,-0.008018,-7.513665,18.502991,325.482605
13,0,-0.003137,0.000039,-0.008061,-7.496708,18.506886,325.513580
14,0,-0.002757,-0.000118,-0.008068,-7.503367,18.545835,325.658813
15,0,-0.003124,-0.000182,-0.008044,-7.548261,18.571878,325.825745
16,0,-0.002929,-0.000219,-0.008097,-7.570617,18.598269,325.939362
17,0,-0.002888,-0.000107,-0.008022,-7.580482,18.601095,325.934052
18,0,-0.003037,-0.000057,-0.008047,-7.565570,18.569317,325.802734
19,0,-0.002987,-0.000091,-0.007916,-7.530343,18.526781,325.594635
20,0,-0.003027,-0.000190,-0.007895,-7.520420,18.491140,325.458252
21,0,-0.002875,-0.000228,-0.007730,-7.527504,18.484797,325.480194
22,0,-0.002901,-0.000192,-0.007694,-7.558385,18.516224,325.627716
23,0,-0.002866,-0.000163,-0.007644,-7.585322,18.564751,325.860352
24,0,-0.003076,-0.000224,-0.007582,-7.587336,18.594328,325.998627
25,0,-0.002544,-0.000258,-0.007634,-7.588393,18.591095,325.977356
26,0,-0.002813,-0.000175,-0.007632,-7.552900,18.563795,325.804932
27,0,-0.002827,-0.000151,-0.007783,-7.513695,18.513081,325.567749
28,0,-0.002818,-0.000011,-0.007804,-7.483711,18.481400,325.450745
29,0,-0.002495,0.000005,-0.007943,-7.461815,18.492199,325.498505
30,0,-0.002816,-0.000048,-0.007939,-7.493743,18.528011,325.678192
31,0,-0.002997,-0.000063,-0.007999,-7.529202,18.575224,325.861328
32,0,-0.002986,-0.000095,-0.007994,-7.566195,18.597277,325.927185
33,0,-0.002623,-0.000095,-0.007941,-7.569684,18.586590,325.888397
34,0,-0.002485,-0.000036,-0.007974,-7.530666,18.550245,325.739624
35,0,-0.003003,0.000036,-0.007893,-7.469737,18.517414,325.605316
36,0,-0.002773,-0.000038,-0.007853,-7.447989,18.505510,325.548401
37,0,-0.003072,-0.000099,-0.007754,-7.470149,18.522430,325.595886
38,0,-0.002882,-0.000095,-0.007778,-7.528074,18.553310,325.705750
39,0,-0.002557,-0.000188,-0.007699,-7.576594,18.583923,325.812958
40,0,-0.002762,-0.000206,-0.007668,-7.594796,18.589540,325.846252
41,0,-0.002817,-0.000054,-0.007732,-7.556240,18.569750,325.819794
42,0,-0.002732,-0.000073,-0.007671,-7.514912,18.546822,325.735596
43,0,-0.002758,-0.000116,-0.007726,-7.496958,18.536171,325.646820
44,0,-0.002762,-0.000134,-0.007843,-7.507400,18.531294,325.613922
45,0,-0.002929,-0.000102,-0.007875,-7.551404,18.545576,325.634857
46,0,-0.003019,-0.000148,-0.007933,-7.588943,18.561279,325.716003
47,0,-0.002723,-0.000186,-0.007975,-7.592364,18.572855,325.803314
48,0,-0.002768,-0.000147,-0.008026,-7.568552,18.568708,325.840302
49,0,-0.003040,-0.000164,-0.008010,-7.537549,18.567303,325.796783
50,0,-0.002958,-0.000160,-0.008030,-7.517880,18.544779,325.712524
