Objects
100
,,Global Angle dogger2:dogger2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.004537,-0.002408,0.004677,-4.842383,28.209745,374.151123
2,0,0.004440,-0.002481,0.004598,-4.832276,28.215275,374.142029
3,0,0.004763,-0.002415,0.004605,-4.832754,28.200670,374.121307
4,0,0.004647,-0.002497,0.004555,-4.829014,28.202162,374.112061
5,0,0.004559,-0.002439,0.004522,-4.835201,28.196747,374.112701
6,0,0.004625,-0.002388,0.004490,-4.831218,28.209242,374.138000
7,0,0.004454,-0.002486,0.004412,-4.827775,28.212584,374.150085
8,0,0.004675,-0.002449,0.004451,-4.833688,28.213066,374.153625
9,0,0.004587,-0.002434,0.004437,-4.828262,28.212772,374.138916
10,0,0.004641,-0.002460,0.004414,-4.821960,28.216169,374.124298
11,0,0.004495,-0.002440,0.004439,-4.821110,28.209055,374.117920
12,0,0.004258,-0.002449,0.004398,-4.830340,28.210369,374.134186
13,0,0.004714,-0.002465,0.004459,-4.836906,28.208605,374.141235
14,0,0.004967,-0.002447,0.004482,-4.832192,28.202936,374.131744
15,0,0.004824,-0.002451,0.004466,-4.823617,28.210619,374.148834
16,0,0.004503,-0.002451,0.004477,-4.828511,28.208651,374.138489
17,0,0.004432,-0.002414,0.004484,-4.831207,28.216650,374.141907
18,0,0.004356,-0.002394,0.004520,-4.833543,28.217249,374.127228
19,0,0.004742,-0.002454,0.004530,-4.835445,28.218782,374.133575
20,0,0.004709,-0.002400,0.004524,-4.843439,28.214308,374.138519
21,0,0.004819,-0.002556,0.004612,-4.851195,28.224749,374.145599
22,0,0.004728,-0.002489,0.004566,-4.831823,28.213221,374.130341
23,0,0.004541,-0.002460,0.004566,-4.834267,28.207027,374.118103
24,0,0.004430,-0.002442,0.004637,-4.833748,28.208519,374.109558
25,0,0.004709,-0.002450,0.004565,-4.838329,28.213491,374.129120
26,0,0.004642,-0.002382,0.004611,-4.847516,28.216125,374.145691
27,0,0.004482,-0.002434,0.004584,-4.855734,28.227633,374.162933
28,0,0.004493,-0.002413,0.004539,-4.841481,28.221554,374.146545
29,0,0.004539,-0.002569,0.004574,-4.837522,28.208939,374.132996
30,0,0.004593,-0.002478,0.004523,-4.834645,28.205990,374.118988
31,0,0.004807,-0.002469,0.004529,-4.836504,28.197481,374.103882
32,0,0.004448,-0.002505,0.004496,-4.841476,28.199545,374.114197
33,0,0.004367,-0.002407,0.004438,-4.854009,28.202606,374.112061
34,0,0.004557,-0.002393,0.004411,-4.855701,28.205225,374.138672
35,0,0.004186,-0.002422,0.004411,-4.847306,28.201410,374.134949
36,0,0.004453,-0.002512,0.004498,-4.837117,28.186934,374.137360
37,0,0.004671,-0.002509,0.004461,-4.847414,28.189981,374.139832
38,0,0.004680,-0.002454,0.004511,-4.860779,28.186388,374.134430
39,0,0.004600,-0.002396,0.004530,-4.872733,28.182341,374.131439
40,0,0.004405,-0.002498,0.004607,-4.872523,28.181454,374.129150
41,0,0.004599,-0.002435,0.004631,-4.861280,28.181391,374.122162
42,0,0.004590,-0.002491,0.004663,-4.852896,28.170183,374.111786
43,0,0.004775,-0.002453,0.004704,-4.861978,28.166557,374.111237
44,0,0.004833,-0.002501,0.004682,-4.867904,28.154362,374.120270
45,0,0.004822,-0.002447,0.004750,-4.872814,28.160435,374.148926
46,0,0.004612,-0.002370,0.004707,-4.882052,28.162104,374.152252
47,0,0.004623,-0.002430,0.004645,-4.874141,28.167156,374.146149
48,0,0.004604,-0.002457,0.004615,-4.864030,28.157391,374.129486
49,0,0.004855,-0.002574,0.004601,-4.861559,28.158106,374.118652
50,0,0.004451,-0.002404,0.004512,-4.860795,28.162663,374.124847
51,0,0.004462,-0.002545,0.004495,-4.866979,28.171291,374.125702
52,0,0.004405,-0.002444,0.004468,-4.867127,28.178417,374.132324
53,0,0.004724,-0.002433,0.004458,-4.863631,28.170471,374.123962
54,0,0.004685,-0.002510,0.004476,-4.851153,28.171850,374.138763
55,0,0.004758,-0.002533,0.004400,-4.839246,28.171743,374.132324
56,0,0.004578,-0.002489,0.004507,-4.835968,28.173536,374.128632
57,0,0.004425,-0.002469,0.004483,-4.831610,28.185204,374.118439
58,0,0.004553,-0.002385,0.004480,-4.834462,28.184732,374.115753
59,0,0.004977,-0.002492,0.004499,-4.833405,28.177896,374.135406
60,0,0.005067,-0.002516,0.004591,-4.832195,28.184368,374.141754
61,0,0.004926,-0.002448,0.004610,-4.825255,28.182180,374.124725
62,0,0.004539,-0.002410,0.004594,-4.822616,28.188944,374.112976
63,0,0.004658,-0.002479,0.004621,-4.817637,28.194178,374.107910
