Objects
100
,,Global Angle dogger:dogger,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.000019,0.019032,1.658304,6.737142,20.662331,132.258087
2,0,-0.000195,0.018889,1.658303,6.738398,20.676416,132.256287
3,0,-0.000025,0.019068,1.658309,6.744789,20.665268,132.255844
4,0,0.000258,0.019181,1.658259,6.749275,20.666162,132.252502
5,0,-0.000112,0.019018,1.658286,6.749639,20.650940,132.247238
6,0,0.000097,0.019155,1.658255,6.746078,20.665081,132.235596
7,0,-0.000182,0.019063,1.658284,6.729380,20.663815,132.237930
8,0,-0.000146,0.019247,1.658032,6.697844,20.675591,132.289200
9,0,-0.000079,0.019025,1.658226,6.729360,20.668402,132.255081
10,0,0.000170,0.019186,1.658282,6.736339,20.673151,132.253159
11,0,-0.000343,0.018756,1.658336,6.730377,20.655239,132.255539
12,0,-0.000224,0.018816,1.658312,6.740672,20.666086,132.242218
13,0,-0.000143,0.018874,1.658354,6.740654,20.663698,132.234268
14,0,-0.000353,0.018963,1.658282,6.736702,20.665049,132.246063
15,0,-0.000007,0.019143,1.658280,6.739033,20.658190,132.249573
16,0,-0.000312,0.018819,1.658288,6.739273,20.660709,132.261383
17,0,-0.000229,0.018872,1.658331,6.731611,20.665421,132.255753
18,0,-0.000125,0.018881,1.658320,6.724824,20.654968,132.245453
19,0,-0.000187,0.018872,1.658244,6.722762,20.657907,132.243317
20,0,-0.000291,0.018870,1.658240,6.728841,20.666969,132.242554
21,0,-0.000080,0.019014,1.658347,6.739119,20.661676,132.242996
22,0,-0.000351,0.018781,1.658286,6.739836,20.662979,132.249954
23,0,-0.000282,0.018833,1.658297,6.738620,20.669182,132.249146
24,0,-0.000173,0.018860,1.658345,6.741943,20.664156,132.252945
25,0,-0.000160,0.018853,1.658363,6.735875,20.659906,132.255814
26,0,-0.000320,0.018756,1.658308,6.732988,20.656887,132.262283
27,0,-0.000258,0.018737,1.658259,6.729721,20.656406,132.252991
28,0,-0.000331,0.018751,1.658282,6.726490,20.661293,132.244583
29,0,-0.000091,0.019035,1.658266,6.727142,20.667265,132.239349
30,0,-0.000387,0.018738,1.658272,6.725476,20.663052,132.253326
31,0,-0.000141,0.018933,1.658260,6.727612,20.656723,132.251312
32,0,-0.000260,0.018876,1.658317,6.728480,20.653576,132.245621
33,0,-0.000099,0.018850,1.658331,6.736151,20.653980,132.252975
34,0,0.000161,0.019122,1.658302,6.730345,20.655399,132.257309
35,0,-0.000422,0.018678,1.658282,6.727559,20.671450,132.255585
36,0,-0.000283,0.018796,1.658259,6.723422,20.673271,132.250397
37,0,-0.000183,0.018921,1.658279,6.727495,20.666149,132.248291
38,0,-0.000276,0.018774,1.658278,6.724266,20.656099,132.243698
39,0,0.000002,0.019153,1.658272,6.725561,20.658846,132.243393
40,0,-0.000284,0.018856,1.658269,6.724661,20.658289,132.252151
41,0,-0.000079,0.018914,1.658329,6.733587,20.655693,132.253998
42,0,-0.000060,0.019056,1.658288,6.732876,20.663023,132.244385
