Objects
100
,,Global Angle dogger:dogger,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.000930,0.019988,1.657677,12.441254,41.644871,131.946472
2,0,0.001142,0.020249,1.657660,12.433734,41.652622,131.960022
3,0,0.001058,0.020240,1.657588,12.429689,41.661171,131.978622
4,0,-0.000267,0.019421,1.657345,12.393662,41.667442,132.025101
5,0,-0.000342,0.019360,1.657404,12.399956,41.658237,132.019516
6,0,-0.000222,0.019407,1.657414,12.399711,41.662800,132.025284
7,0,0.000970,0.020067,1.657632,12.434125,41.647457,131.975143
8,0,-0.000352,0.019363,1.657362,12.391277,41.666653,132.006195
9,0,0.000970,0.020128,1.657642,12.438945,41.655025,131.957092
10,0,0.000896,0.019952,1.657644,12.430462,41.652267,131.958908
11,0,-0.000500,0.019222,1.657406,12.391610,41.662884,132.004425
12,0,-0.000396,0.019314,1.657381,12.386400,41.664768,132.018539
13,0,0.000911,0.020131,1.657630,12.431422,41.640003,131.987823
14,0,0.001144,0.020314,1.657619,12.430867,41.645679,131.992844
15,0,0.000952,0.020170,1.657629,12.436128,41.640144,131.984955
16,0,0.001153,0.020309,1.657689,12.433809,41.642956,131.971771
17,0,-0.000452,0.019265,1.657390,12.387166,41.660301,131.998993
18,0,-0.000477,0.019171,1.657422,12.393340,41.665314,131.994278
19,0,0.000993,0.020155,1.657630,12.429592,41.651054,131.974854
20,0,0.000974,0.020176,1.657634,12.431597,41.643673,131.985825
21,0,-0.000359,0.019262,1.657338,12.386189,41.645809,132.026245
22,0,0.001183,0.020264,1.657625,12.430437,41.639301,131.983368
23,0,-0.000356,0.019216,1.657423,12.388370,41.656509,132.014435
24,0,-0.000253,0.019414,1.657356,12.393173,41.665016,132.010345
25,0,0.000886,0.020113,1.657600,12.436005,41.650799,131.974655
26,0,-0.000495,0.019314,1.657418,12.390140,41.668060,132.023178
27,0,0.001235,0.020326,1.657693,12.434692,41.656570,131.977356
28,0,0.000939,0.020082,1.657677,12.435416,41.647732,131.972778
29,0,0.001231,0.020397,1.657657,12.440331,41.651829,131.981308
30,0,-0.000378,0.019320,1.657386,12.400091,41.664642,132.011093
31,0,0.001013,0.020118,1.657617,12.443373,41.650127,131.984650
32,0,-0.000195,0.019484,1.657419,12.400553,41.665150,132.025726
33,0,-0.000302,0.019168,1.657411,12.395591,41.670757,132.006454
34,0,0.001068,0.020126,1.657629,12.434711,41.656807,131.971497
35,0,-0.000257,0.019419,1.657362,12.398311,41.666286,132.025009
36,0,0.001038,0.020222,1.657586,12.433054,41.644146,131.978897
37,0,-0.000404,0.019025,1.657466,12.392212,41.657166,132.004654
38,0,0.001193,0.020327,1.657669,12.436785,41.647362,131.971130
39,0,0.000692,0.019981,1.657674,12.444065,41.665794,131.975891
40,0,-0.000191,0.019306,1.657482,12.401084,41.676704,132.018692
41,0,-0.000349,0.019277,1.657399,12.402534,41.675991,132.021927
42,0,0.001231,0.020303,1.657651,12.444338,41.642078,131.976929
43,0,-0.000206,0.019358,1.657368,12.401842,41.657524,132.022079
44,0,0.001073,0.020233,1.657597,12.427917,41.642250,131.989151
45,0,0.001132,0.020339,1.657645,12.440146,41.661545,131.970016
46,0,-0.000182,0.019561,1.657357,12.398653,41.685032,132.000885
47,0,0.000783,0.019987,1.657626,12.448537,41.653835,131.968262
48,0,0.001007,0.020224,1.657578,12.443212,41.651821,131.984955
49,0,-0.000237,0.019424,1.657377,12.402175,41.649971,132.031921
50,0,0.001161,0.020274,1.657650,12.440908,41.635788,131.996475
51,0,-0.000378,0.019423,1.657339,12.400118,41.664062,132.015839
52,0,-0.000225,0.019330,1.657409,12.405280,41.662064,131.990631
53,0,-0.000304,0.019246,1.657454,12.406808,41.664787,131.983215
54,0,0.001082,0.020159,1.657647,12.447901,41.649010,131.960861
55,0,0.001000,0.020136,1.657624,12.438162,41.641556,131.970398
56,0,-0.000336,0.019308,1.657427,12.398452,41.650333,132.023758
57,0,0.000998,0.020148,1.657619,12.430463,41.640549,131.993469
58,0,-0.000352,0.019368,1.657361,12.392581,41.664051,132.027206
59,0,0.001080,0.020201,1.657618,12.437327,41.653927,131.978897
60,0,0.001208,0.020214,1.657625,12.438806,41.658272,131.964432
61,0,0.000916,0.020111,1.657633,12.440125,41.643902,131.969742
62,0,-0.000264,0.019281,1.657436,12.392857,41.659252,132.006119
63,0,0.000908,0.020043,1.657625,12.429856,41.641697,131.975494
64,0,-0.000254,0.019395,1.657336,12.389892,41.663273,132.028900
65,0,-0.000111,0.019661,1.657369,12.387296,41.667419,132.027100
66,0,0.000996,0.020131,1.657628,12.431029,41.661308,131.977722
67,0,-0.000361,0.019382,1.657315,12.391393,41.680393,131.999344
68,0,-0.000113,0.019449,1.657435,12.391103,41.668537,131.999817
69,0,-0.000073,0.019432,1.657430,12.391479,41.663128,132.017914
70,0,0.000848,0.019899,1.657679,12.427787,41.643181,131.982239
71,0,0.000854,0.019949,1.657679,12.436654,41.640705,131.980789
72,0,0.000909,0.020024,1.657654,12.428437,41.646778,131.982758
73,0,-0.000361,0.019268,1.657387,12.390327,41.662235,132.002411
74,0,0.000945,0.020059,1.657650,12.429751,41.647873,131.960037
75,0,-0.000407,0.019171,1.657376,12.387733,41.664059,131.996262
76,0,-0.000084,0.019427,1.657401,12.382525,41.660656,131.996460
77,0,0.000089,0.019595,1.657358,12.393235,41.657776,132.006027
78,0,0.001061,0.020248,1.657637,12.427816,41.646854,131.991562
79,0,-0.000330,0.019307,1.657405,12.388787,41.660709,132.031494
80,0,0.000796,0.020078,1.657660,12.434668,41.649647,131.981567
81,0,0.000977,0.020123,1.657604,12.431090,41.648247,131.974762
82,0,-0.000258,0.019390,1.657392,12.383805,41.653652,131.996109
83,0,-0.000361,0.019397,1.657344,12.375089,41.656616,132.014542
84,0,0.000952,0.020133,1.657565,12.418735,41.653339,131.980560
85,0,0.000723,0.020025,1.657666,12.422875,41.653084,131.981430
86,0,0.001238,0.020393,1.657583,12.429955,41.656765,131.976227
87,0,0.001134,0.020233,1.657683,12.433289,41.643032,131.972336
88,0,-0.000275,0.019296,1.657391,12.398856,41.654526,132.005432
89,0,0.000962,0.020039,1.657693,12.443668,41.639732,131.966797
90,0,0.001172,0.020156,1.657655,12.437488,41.641659,131.979111
91,0,0.000911,0.020118,1.657656,12.431105,41.647720,131.979996
92,0,0.001126,0.020187,1.657696,12.426487,41.650913,131.975800
93,0,0.001063,0.020128,1.657699,12.431065,41.639912,131.971680
94,0,0.001109,0.020177,1.657585,12.432102,41.634624,131.972351
95,0,0.000879,0.019961,1.657665,12.431693,41.646721,131.961517
96,0,0.001043,0.020232,1.657592,12.431713,41.646839,131.972061
97,0,0.001321,0.020443,1.657673,12.430511,41.662777,131.969467
98,0,0.000849,0.020081,1.657639,12.435804,41.658165,131.976120
99,0,0.000950,0.020140,1.657619,12.438121,41.655178,131.986603
100,0,0.001039,0.020290,1.657651,12.442582,41.646793,131.979782
101,0,-0.000407,0.019325,1.657315,12.389040,41.666553,132.023132
102,0,0.001065,0.020243,1.657633,12.429841,41.643818,131.973297
103,0,0.001151,0.020433,1.657632,12.424309,41.652870,131.970520
104,0,-0.000408,0.019195,1.657367,12.390548,41.666172,132.022339
105,0,-0.000283,0.019443,1.657381,12.390858,41.678101,132.018097
