Objects
100
,,Global Angle dogger2:dogger2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,3.145634,-0.089859,0.058501,-891.261902,34.269737,372.489929
2,0,3.146002,-0.089900,0.058261,-891.246460,34.283974,372.513733
3,0,3.145598,-0.089995,0.057869,-891.238586,34.277164,372.515381
4,0,3.145705,-0.090020,0.057846,-891.247620,34.281567,372.508698
5,0,3.145594,-0.090007,0.057816,-891.257629,34.275604,372.491821
6,0,3.145864,-0.089890,0.058237,-891.268738,34.280376,372.499908
7,0,3.145521,-0.089960,0.058102,-891.268921,34.270874,372.487335
8,0,3.145650,-0.089750,0.058367,-891.254456,34.272434,372.482300
9,0,3.145320,-0.089789,0.058338,-891.248901,34.270702,372.498016
10,0,3.153498,-0.104977,0.004186,-891.452637,33.399433,369.390350
11,0,3.153673,-0.104954,0.004384,-891.467102,33.403961,369.403564
12,0,3.153445,-0.104852,0.004516,-891.482605,33.398373,369.393402
13,0,3.153636,-0.104850,0.004460,-891.479431,33.392372,369.385468
14,0,3.153592,-0.104916,0.004537,-891.466736,33.392075,369.389069
15,0,3.153387,-0.104935,0.004322,-891.446106,33.389477,369.386017
16,0,3.153334,-0.104861,0.004220,-891.431213,33.382645,369.387360
17,0,3.153491,-0.104882,0.004486,-891.444519,33.369282,369.374023
18,0,3.153678,-0.105028,0.004534,-891.470215,33.374611,369.359558
19,0,3.153589,-0.104990,0.004582,-891.476868,33.376751,369.390625
20,0,3.153605,-0.105094,0.004476,-891.477295,33.378342,369.391052
21,0,3.153403,-0.105036,0.004377,-891.447815,33.373329,369.401489
22,0,3.153312,-0.104939,0.004345,-891.421387,33.368412,369.393646
23,0,3.153598,-0.104983,0.004297,-891.408508,33.368721,369.372681
24,0,3.153191,-0.104894,0.004444,-891.428894,33.364189,369.366913
25,0,3.153438,-0.104864,0.004487,-891.452393,33.360619,369.370789
26,0,3.153715,-0.104878,0.004631,-891.457886,33.359249,369.380432
27,0,3.153624,-0.104932,0.004410,-891.463074,33.367729,369.392517
28,0,3.153594,-0.104913,0.004358,-891.442505,33.366135,369.390991
29,0,3.153474,-0.104934,0.004263,-891.425781,33.365120,369.379364
30,0,3.153217,-0.104936,0.004420,-891.427002,33.361977,369.372284
31,0,3.153432,-0.104915,0.004455,-891.440063,33.371574,369.376160
32,0,3.153506,-0.105009,0.004494,-891.458496,33.381344,369.381165
33,0,3.153344,-0.105042,0.004427,-891.459534,33.382862,369.380219
34,0,3.153548,-0.105055,0.004388,-891.454285,33.376011,369.379333
35,0,3.153180,-0.104959,0.004366,-891.433411,33.377289,369.372986
36,0,3.153593,-0.105050,0.004407,-891.429688,33.368965,369.373322
37,0,3.153457,-0.104956,0.004413,-891.442627,33.371792,369.365265
38,0,3.153376,-0.104955,0.004499,-891.457581,33.385090,369.374298
39,0,3.153488,-0.105016,0.004491,-891.470764,33.400124,369.409760
40,0,3.153316,-0.104933,0.004409,-891.463806,33.392544,369.405518
41,0,3.153640,-0.104914,0.004507,-891.451050,33.391476,369.392975
42,0,3.153755,-0.105001,0.004319,-891.442139,33.384792,369.366638
43,0,0.004560,-0.008311,-0.056153,-891.602478,33.379932,369.085022
44,0,0.004298,-0.008344,-0.056190,-891.623474,33.389030,369.099640
45,0,0.004507,-0.008392,-0.056183,-891.639832,33.396412,369.134369
46,0,0.004534,-0.008453,-0.056184,-891.643982,33.399315,369.152893
47,0,0.004392,-0.008356,-0.056193,-891.633789,33.400082,369.158081
48,0,0.004322,-0.008338,-0.056193,-891.622803,33.400105,369.144043
49,0,0.004341,-0.008331,-0.056241,-891.605225,33.389038,369.098389
50,0,0.004474,-0.008309,-0.056196,-891.605774,33.383575,369.081726
51,0,0.004300,-0.008367,-0.056207,-891.613098,33.394608,369.094208
52,0,0.004458,-0.008326,-0.056193,-891.636230,33.399761,369.136292
53,0,0.004499,-0.008384,-0.056188,-891.642151,33.399803,369.146027
54,0,0.004443,-0.008375,-0.056188,-891.630310,33.391613,369.150146
55,0,0.004547,-0.008445,-0.056159,-891.610962,33.388172,369.131226
56,0,0.004466,-0.008299,-0.056183,-891.597534,33.378376,369.092957
57,0,0.004224,-0.008369,-0.056188,-891.598450,33.371555,369.084320
58,0,0.004070,-0.008241,-0.056237,-891.621704,33.372921,369.101440
59,0,0.004188,-0.008414,-0.056182,-891.624756,33.383617,369.122162
60,0,0.004582,-0.008401,-0.056226,-891.624023,33.387390,369.149384
61,0,0.004418,-0.008357,-0.056236,-891.618042,33.371632,369.136505
62,0,0.004484,-0.008337,-0.056276,-891.604492,33.373287,369.118469
63,0,0.004549,-0.008340,-0.056228,-891.592651,33.357998,369.090332
64,0,0.004694,-0.008336,-0.056316,-891.607239,33.352882,369.081238
65,0,0.004796,-0.008431,-0.056245,-891.625122,33.352680,369.105286
66,0,0.004289,-0.008362,-0.056229,-891.634033,33.362206,369.143036
67,0,0.004612,-0.008363,-0.056257,-891.628967,33.365433,369.154755
68,0,0.004493,-0.008345,-0.056262,-891.619080,33.356339,369.131348
69,0,0.004440,-0.008299,-0.056287,-891.610840,33.353645,369.119934
70,0,0.004740,-0.008365,-0.056207,-891.618042,33.350155,369.107971
71,0,0.004564,-0.008311,-0.056185,-891.613525,33.350338,369.109833
72,0,0.004533,-0.008371,-0.056186,-891.624756,33.362503,369.129791
73,0,0.004374,-0.008342,-0.056210,-891.621826,33.365223,369.130768
74,0,0.004605,-0.008403,-0.056151,-891.613037,33.366684,369.130768
75,0,0.004566,-0.008339,-0.056124,-891.617188,33.364777,369.123199
76,0,0.004512,-0.008315,-0.056134,-891.615295,33.360115,369.117584
77,0,0.004468,-0.008273,-0.056134,-891.620850,33.362064,369.116211
78,0,0.004683,-0.008322,-0.056116,-891.623596,33.369102,369.116821
79,0,0.004448,-0.008336,-0.056186,-891.622314,33.378437,369.135071
80,0,0.004418,-0.008339,-0.056157,-891.637146,33.383217,369.138885
81,0,0.004407,-0.008420,-0.056137,-891.632812,33.383617,369.127167
82,0,0.004414,-0.008388,-0.056176,-891.626709,33.371593,369.094330
83,0,0.004520,-0.008366,-0.056237,-891.627197,33.373905,369.099152
84,0,0.004531,-0.008324,-0.056283,-891.628235,33.376583,369.113495
85,0,0.004637,-0.008415,-0.056228,-891.634521,33.376137,369.132996
86,0,0.004569,-0.008446,-0.056262,-891.637695,33.380306,369.148834
87,0,0.004123,-0.008362,-0.056264,-891.626404,33.388218,369.130219
88,0,0.004240,-0.008302,-0.056280,-891.617004,33.398182,369.125793
89,0,0.004251,-0.008324,-0.056297,-891.610229,33.390869,369.114258
90,0,0.004640,-0.008400,-0.056318,-891.619141,33.388092,369.104675
91,0,0.004464,-0.008401,-0.056265,-891.623352,33.383186,369.097961
92,0,0.004379,-0.008342,-0.056271,-891.622925,33.394154,369.107941
93,0,0.004160,-0.008315,-0.056272,-891.636414,33.396923,369.130829
94,0,0.004277,-0.008332,-0.056248,-891.620605,33.407825,369.157837
95,0,0.004462,-0.008361,-0.056206,-891.612000,33.411461,369.156403
96,0,0.004343,-0.008302,-0.056215,-891.597595,33.403469,369.136566
97,0,0.004604,-0.008370,-0.056209,-891.601929,33.395687,369.096680
98,0,0.004447,-0.008357,-0.056148,-891.617615,33.383518,369.076141
99,0,0.004307,-0.008325,-0.056230,-891.615479,33.387016,369.076355
100,0,0.004660,-0.008374,-0.056213,-891.625244,33.399834,369.125671
101,0,0.004608,-0.008288,-0.056223,-891.622620,33.399521,369.150146
102,0,0.004332,-0.008385,-0.056220,-891.629150,33.400566,369.159332
103,0,0.004734,-0.008358,-0.056267,-891.633240,33.389530,369.146851
104,0,0.004951,-0.008457,-0.056275,-891.622559,33.382450,369.110260
105,0,0.004373,-0.008432,-0.056267,-891.622864,33.374340,369.087067
106,0,0.004330,-0.008313,-0.056287,-891.622498,33.385483,369.076782
107,0,0.004485,-0.008286,-0.056260,-891.632568,33.384037,369.097198
108,0,0.004643,-0.008421,-0.056237,-891.633362,33.397434,369.150177
109,0,0.004520,-0.008319,-0.056267,-891.640320,33.392578,369.170502
110,0,0.004688,-0.008365,-0.056273,-891.648193,33.388844,369.171997
111,0,0.004662,-0.008287,-0.056259,-891.627441,33.376740,369.126862
112,0,0.004476,-0.008358,-0.056233,-891.630981,33.367970,369.084930
113,0,0.004323,-0.008364,-0.056218,-891.619873,33.373165,369.080261
114,0,0.004316,-0.008349,-0.056224,-891.638550,33.374382,369.105682
115,0,0.004432,-0.008340,-0.056232,-891.628479,33.379230,369.138489
116,0,0.004585,-0.008279,-0.056292,-891.632690,33.380718,369.158234
117,0,0.004651,-0.008280,-0.056302,-891.629639,33.377399,369.149963
118,0,0.004584,-0.008378,-0.056283,-891.629517,33.378151,369.128418
119,0,0.004261,-0.008287,-0.056343,-891.629517,33.377033,369.097595
120,0,0.004592,-0.008385,-0.056274,-891.620361,33.368061,369.084869
121,0,0.004400,-0.008288,-0.056341,-891.629944,33.368797,369.103607
122,0,0.004664,-0.008396,-0.056262,-891.627747,33.370655,369.125397
123,0,0.004492,-0.008359,-0.056319,-891.629578,33.376503,369.148743
124,0,0.004359,-0.008357,-0.056265,-891.630249,33.384949,369.137390
125,0,0.004809,-0.008393,-0.056312,-891.621033,33.385506,369.131866
126,0,0.004425,-0.008381,-0.056246,-891.619934,33.383858,369.104156
127,0,0.004778,-0.008298,-0.056291,-891.613281,33.380402,369.096069
128,0,0.004396,-0.008219,-0.056280,-891.612793,33.374340,369.102264
129,0,0.004285,-0.008330,-0.056257,-891.624268,33.392181,369.127289
130,0,0.004503,-0.008425,-0.056277,-891.627380,33.398285,369.135986
131,0,0.004476,-0.008451,-0.056224,-891.625061,33.397129,369.136536
132,0,0.004254,-0.008327,-0.056179,-891.627319,33.392944,369.116516
133,0,0.004367,-0.008370,-0.056208,-891.625793,33.392563,369.101959
134,0,0.004235,-0.008254,-0.056235,-891.604675,33.389172,369.100220
135,0,0.004433,-0.008301,-0.056211,-891.614136,33.385994,369.113861
136,0,0.004499,-0.008390,-0.056201,-891.619202,33.395927,369.124603
137,0,0.004078,-0.008387,-0.056219,-891.628601,33.397873,369.136078
138,0,0.004456,-0.008263,-0.056285,-891.627930,33.400841,369.138947
139,0,0.004354,-0.008371,-0.056212,-891.623657,33.392467,369.142456
140,0,0.004653,-0.008342,-0.056195,-891.615173,33.393360,369.141388
141,0,0.004194,-0.008299,-0.056270,-891.617737,33.386063,369.126312
142,0,0.004275,-0.008340,-0.056242,-891.613159,33.391972,369.107178
143,0,0.004217,-0.008303,-0.056278,-891.616760,33.395657,369.097382
144,0,0.004516,-0.008267,-0.056299,-891.624634,33.390114,369.118195
145,0,0.004298,-0.008299,-0.056277,-891.617981,33.387302,369.120605
146,0,0.004443,-0.008307,-0.056238,-891.626160,33.389202,369.134735
147,0,0.004537,-0.008362,-0.056261,-891.624939,33.382423,369.137848
148,0,0.004341,-0.008367,-0.056206,-891.618286,33.390930,369.138306
149,0,0.004354,-0.008406,-0.056142,-891.622192,33.383705,369.123871
150,0,0.004313,-0.008397,-0.056236,-891.619202,33.377064,369.113892
151,0,0.004482,-0.008379,-0.056175,-891.624268,33.367069,369.098602
152,0,0.004622,-0.008384,-0.056158,-891.619751,33.363022,369.110748
153,0,0.004727,-0.008272,-0.056213,-891.620667,33.368065,369.122192
154,0,0.004338,-0.008319,-0.056202,-891.623596,33.369141,369.145477
155,0,0.004631,-0.008361,-0.056214,-891.619629,33.365772,369.144012
156,0,0.004494,-0.008410,-0.056192,-891.630371,33.355343,369.132141
157,0,0.004756,-0.008228,-0.056212,-891.615784,33.343987,369.115814
158,0,0.004537,-0.008362,-0.056226,-891.617126,33.340286,369.093689
159,0,0.004274,-0.008339,-0.056230,-891.607727,33.349243,369.102692
160,0,0.004494,-0.008350,-0.056285,-891.618164,33.360001,369.119507
161,0,0.004156,-0.008392,-0.056228,-891.621277,33.355480,369.132355
162,0,0.004529,-0.008351,-0.056295,-891.628540,33.347530,369.134430
163,0,0.004525,-0.008381,-0.056230,-891.618286,33.345909,369.120239
164,0,0.004739,-0.008355,-0.056211,-891.618774,33.347485,369.112915
165,0,0.004324,-0.008298,-0.056175,-891.615356,33.345181,369.103729
166,0,0.004590,-0.008372,-0.056172,-891.623901,33.352711,369.113190
167,0,0.004645,-0.008377,-0.056190,-891.619507,33.360146,369.119598
168,0,0.004429,-0.008313,-0.056124,-891.618774,33.359486,369.122101
169,0,0.004491,-0.008336,-0.056176,-891.610596,33.361191,369.119537
170,0,0.004275,-0.008334,-0.056122,-891.614563,33.354630,369.116272
171,0,0.004479,-0.008242,-0.056216,-891.618652,33.360733,369.105194
172,0,0.004819,-0.008373,-0.056226,-891.618347,33.361034,369.087860
173,0,0.004638,-0.008369,-0.056252,-891.621887,33.364838,369.092987
174,0,0.004473,-0.008508,-0.056232,-891.628723,33.376923,369.111969
175,0,0.004558,-0.008323,-0.056352,-891.625488,33.388763,369.147583
176,0,0.004405,-0.008365,-0.056373,-891.620422,33.392670,369.128418
177,0,0.004149,-0.008338,-0.056433,-891.613647,33.401745,369.122925
178,0,0.004442,-0.008300,-0.056407,-891.614685,33.396820,369.093445
179,0,0.004363,-0.008371,-0.056397,-891.600220,33.398434,369.059052
180,0,0.004371,-0.008395,-0.056404,-891.606628,33.397533,369.062439
181,0,0.004453,-0.008295,-0.056442,-891.601807,33.409294,369.098633
182,0,0.004337,-0.008402,-0.056372,-891.596436,33.413940,369.111298
183,0,0.004275,-0.008257,-0.056365,-891.587402,33.419083,369.133606
184,0,0.004357,-0.008289,-0.056324,-891.587708,33.421417,369.123352
185,0,0.004351,-0.008344,-0.056332,-891.598999,33.416370,369.117188
186,0,0.004561,-0.008390,-0.056291,-891.593323,33.405285,369.088257
187,0,0.004499,-0.008325,-0.056210,-891.581665,33.402157,369.060364
188,0,0.004411,-0.008428,-0.056266,-891.586792,33.408031,369.072662
189,0,0.004505,-0.008315,-0.056175,-891.594971,33.410946,369.088013
190,0,0.004615,-0.008335,-0.056184,-891.603271,33.406910,369.102875
191,0,0.004444,-0.008273,-0.056200,-891.607361,33.412014,369.124695
192,0,0.004390,-0.008337,-0.056160,-891.617004,33.410168,369.137207
193,0,0.004271,-0.008327,-0.056199,-891.613831,33.410282,369.115448
194,0,0.004238,-0.008388,-0.056198,-891.607544,33.403896,369.102875
195,0,0.004464,-0.008337,-0.056301,-891.605652,33.391556,369.079712
196,0,0.004437,-0.008211,-0.056308,-891.609680,33.388763,369.091064
197,0,0.004442,-0.008281,-0.056402,-891.604309,33.386375,369.094330
198,0,0.004367,-0.008291,-0.056381,-891.615234,33.390198,369.128387
199,0,0.004445,-0.008362,-0.056447,-891.628967,33.392231,369.143127
200,0,0.004546,-0.008286,-0.056454,-891.632996,33.394459,369.144562
201,0,0.004566,-0.008304,-0.056446,-891.622559,33.383560,369.130646
202,0,0.004248,-0.008351,-0.056403,-891.622803,33.375965,369.116821
203,0,0.004310,-0.008308,-0.056399,-891.622803,33.367306,369.103119
204,0,0.004448,-0.008292,-0.056343,-891.635620,33.359673,369.105957
205,0,0.004492,-0.008299,-0.056246,-891.637512,33.361729,369.134766
206,0,0.004821,-0.008307,-0.056221,-891.626404,33.362507,369.141266
207,0,0.004695,-0.008423,-0.056160,-891.615112,33.352573,369.136902
208,0,0.004612,-0.008253,-0.056151,-891.603027,33.339413,369.126740
209,0,0.004446,-0.008295,-0.056156,-891.602173,33.336296,369.109650
210,0,0.004442,-0.008302,-0.056069,-891.614441,33.341419,369.120361
211,0,0.004604,-0.008348,-0.056166,-891.606812,33.351780,369.148193
212,0,0.004601,-0.008335,-0.056157,-891.609314,33.352413,369.154053
213,0,0.004627,-0.008342,-0.056142,-891.598999,33.354652,369.145752
214,0,0.004417,-0.008321,-0.056211,-891.595276,33.351036,369.106567
215,0,0.004394,-0.008343,-0.056249,-891.589600,33.339279,369.077667
216,0,0.004497,-0.008342,-0.056288,-891.590027,33.348629,369.084778
217,0,0.004369,-0.008324,-0.056347,-891.595093,33.359634,369.095703
218,0,0.004160,-0.008344,-0.056353,-891.605225,33.370892,369.118378
219,0,0.004412,-0.008309,-0.056389,-891.610229,33.370518,369.131531
220,0,0.004364,-0.008247,-0.056361,-891.622803,33.375324,369.143799
221,0,0.004475,-0.008355,-0.056403,-891.606384,33.375660,369.143402
222,0,0.004681,-0.008341,-0.056357,-891.614075,33.370213,369.119324
223,0,0.004355,-0.008375,-0.056363,-891.609131,33.371246,369.101013
224,0,0.004253,-0.008289,-0.056336,-891.606995,33.372051,369.072113
225,0,0.004413,-0.008321,-0.056228,-891.613159,33.376022,369.078125
226,0,0.004547,-0.008379,-0.056235,-891.630310,33.377518,369.102753
227,0,0.004765,-0.008339,-0.056250,-891.622192,33.385029,369.137512
228,0,0.004593,-0.008309,-0.056179,-891.625854,33.395390,369.143677
229,0,0.004476,-0.008322,-0.056150,-891.626953,33.387249,369.130005
230,0,0.004580,-0.008390,-0.056138,-891.630920,33.394108,369.135590
231,0,0.004529,-0.008437,-0.056162,-891.626038,33.391865,369.119232
232,0,0.004445,-0.008515,-0.056127,-891.613953,33.382317,369.099762
233,0,0.004283,-0.008353,-0.056255,-891.603882,33.383293,369.068909
234,0,0.004391,-0.008359,-0.056234,-891.584778,33.382912,369.064026
235,0,0.004463,-0.008245,-0.056258,-891.581543,33.381065,369.085022
236,0,0.004207,-0.008296,-0.056333,-891.602905,33.391029,369.115051
237,0,0.004729,-0.008328,-0.056381,-891.616028,33.395142,369.149597
238,0,0.004111,-0.008313,-0.056415,-891.614136,33.396198,369.166534
239,0,0.004239,-0.008307,-0.056419,-891.596436,33.400620,369.144714
240,0,0.004299,-0.008364,-0.056401,-891.563965,33.389763,369.116852
241,0,0.004341,-0.008344,-0.056396,-891.563416,33.369175,369.055908
242,0,0.004533,-0.008351,-0.056348,-891.568054,33.354053,369.020111
243,0,0.004492,-0.008307,-0.056336,-891.584961,33.358749,369.035339
244,0,0.004612,-0.008321,-0.056227,-891.592651,33.363560,369.107117
245,0,0.004435,-0.008315,-0.056240,-891.596130,33.385860,369.202942
246,0,0.004737,-0.008352,-0.056221,-891.593201,33.388622,369.232239
247,0,0.004541,-0.008316,-0.056196,-891.592102,33.375473,369.180664
248,0,0.004356,-0.008335,-0.056205,-891.578857,33.361526,369.098053
249,0,0.004730,-0.008337,-0.056153,-891.578613,33.346886,369.026398
250,0,0.004656,-0.008301,-0.056205,-891.592590,33.342911,369.037689
251,0,0.004731,-0.008378,-0.056192,-891.610046,33.358074,369.099609
252,0,0.004622,-0.008355,-0.056268,-891.620972,33.369583,369.151703
253,0,0.004722,-0.008431,-0.056252,-891.628113,33.378941,369.182953
254,0,0.004473,-0.008342,-0.056321,-891.619324,33.373791,369.165009
255,0,0.004729,-0.008316,-0.056330,-891.624939,33.363052,369.124878
256,0,0.004796,-0.008372,-0.056370,-891.613159,33.354866,369.098846
257,0,0.004437,-0.008318,-0.056351,-891.626343,33.359043,369.087860
258,0,0.004516,-0.008288,-0.056388,-891.628479,33.368969,369.105103
259,0,0.004340,-0.008264,-0.056410,-891.633057,33.381638,369.131012
260,0,0.004374,-0.008324,-0.056400,-891.629089,33.374306,369.131927
261,0,0.004475,-0.008286,-0.056329,-891.630676,33.369240,369.125214
262,0,0.004389,-0.008355,-0.056333,-891.628845,33.370251,369.114075
263,0,0.004460,-0.008348,-0.056275,-891.614197,33.373077,369.109344
264,0,0.004246,-0.008389,-0.056248,-891.597839,33.374706,369.129578
265,0,0.004682,-0.008329,-0.056223,-891.592529,33.382607,369.142273
266,0,0.004695,-0.008285,-0.056223,-891.592407,33.379559,369.137390
267,0,0.004847,-0.008281,-0.056206,-891.595764,33.370823,369.105743
268,0,0.004542,-0.008310,-0.056138,-891.594482,33.366707,369.074768
269,0,0.004263,-0.008259,-0.056169,-891.593689,33.375946,369.068573
270,0,0.004614,-0.008250,-0.056154,-891.591980,33.385178,369.101135
271,0,0.004567,-0.008387,-0.056203,-891.589111,33.392048,369.138306
272,0,0.004440,-0.008350,-0.056205,-891.590637,33.398109,369.158997
273,0,0.004596,-0.008369,-0.056295,-891.581299,33.390442,369.137207
274,0,0.004441,-0.008370,-0.056312,-891.579956,33.384914,369.105469
275,0,0.004141,-0.008246,-0.056317,-891.592712,33.379387,369.072418
276,0,0.004391,-0.008341,-0.056361,-891.594849,33.376297,369.063049
277,0,0.004301,-0.008241,-0.056386,-891.606079,33.387066,369.089020
278,0,0.004545,-0.008279,-0.056406,-891.602966,33.393639,369.107941
279,0,0.004398,-0.008260,-0.056425,-891.600159,33.399345,369.147186
280,0,0.004505,-0.008309,-0.056439,-891.605347,33.403450,369.147583
281,0,0.004397,-0.008372,-0.056441,-891.607483,33.403847,369.131531
282,0,0.004342,-0.008251,-0.056421,-891.625183,33.389671,369.107269
283,0,0.004586,-0.008301,-0.056397,-891.621582,33.388031,369.097565
284,0,0.004393,-0.008268,-0.056353,-891.618042,33.384403,369.089081
285,0,0.004493,-0.008285,-0.056333,-891.612366,33.385529,369.105713
286,0,0.004659,-0.008343,-0.056282,-891.607422,33.389889,369.112000
287,0,0.004486,-0.008317,-0.056229,-891.614380,33.388027,369.117584
288,0,0.004573,-0.008393,-0.056189,-891.611084,33.390594,369.126984
289,0,0.004257,-0.008222,-0.056084,-891.617615,33.382240,369.127258
290,0,0.004563,-0.008290,-0.056136,-891.621521,33.382057,369.139832
291,0,0.004453,-0.008284,-0.056183,-891.619080,33.384014,369.130096
292,0,0.004107,-0.008340,-0.056155,-891.611023,33.375557,369.125427
293,0,0.004305,-0.008369,-0.056136,-891.597595,33.376518,369.109833
