Objects
100
,,Global Angle dogger2:dogger2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.000852,0.000256,-0.000528,-16.811016,7.510537,326.844635
2,0,0.000723,0.000358,-0.000521,-16.816772,7.504981,326.846375
3,0,0.001160,0.000220,-0.000570,-16.814209,7.500758,326.839752
4,0,0.000558,0.000184,-0.000528,-16.806065,7.496089,326.841370
5,0,0.000900,0.000288,-0.000600,-16.802814,7.498944,326.848419
6,0,0.001008,0.000312,-0.000668,-16.799477,7.503599,326.860199
7,0,0.000784,0.000266,-0.000655,-16.794270,7.500668,326.854767
8,0,0.000859,0.000350,-0.000626,-16.797356,7.502337,326.853149
9,0,0.000694,0.000255,-0.000625,-16.798288,7.506346,326.839600
10,0,0.000778,0.000168,-0.000548,-16.801214,7.506036,326.849457
11,0,0.000983,0.000143,-0.000532,-16.802670,7.511529,326.843170
12,0,0.000920,0.000341,-0.000552,-16.795752,7.512454,326.855225
13,0,0.000641,0.000318,-0.000442,-16.784536,7.510697,326.852509
14,0,0.000858,0.000327,-0.000474,-16.793076,7.521967,326.844177
15,0,0.000631,0.000194,-0.000413,-16.803923,7.510913,326.832886
16,0,0.000965,0.000227,-0.000401,-16.805466,7.521049,326.839142
17,0,0.000638,0.000246,-0.000449,-16.820457,7.525482,326.848633
18,0,0.000793,0.000230,-0.000437,-16.814987,7.521830,326.845306
19,0,0.000529,0.000222,-0.000463,-16.813332,7.537899,326.851257
20,0,0.000904,0.000311,-0.000504,-16.816671,7.534970,326.849976
21,0,0.000782,0.000311,-0.000550,-16.823671,7.535520,326.848236
22,0,0.000589,0.000194,-0.000540,-16.832060,7.541207,326.844086
23,0,0.000809,0.000239,-0.000574,-16.834032,7.538799,326.851318
24,0,0.000774,0.000226,-0.000578,-16.838184,7.542819,326.861542
25,0,0.000837,0.000381,-0.000647,-16.834032,7.542328,326.864136
26,0,0.000456,0.000285,-0.000591,-16.831650,7.546961,326.853394
27,0,0.000780,0.000310,-0.000620,-16.831541,7.538879,326.840271
28,0,0.000627,0.000281,-0.000589,-16.835928,7.534853,326.835663
29,0,0.000672,0.000241,-0.000583,-16.844048,7.539043,326.839874
30,0,0.000818,0.000200,-0.000524,-16.852808,7.536944,326.858826
31,0,0.000714,0.000251,-0.000505,-16.845610,7.537839,326.861023
32,0,0.000769,0.000327,-0.000473,-16.844135,7.533454,326.866119
33,0,0.000993,0.000252,-0.000436,-16.834686,7.527390,326.858032
34,0,0.000862,0.000239,-0.000359,-16.829300,7.523159,326.853546
35,0,0.000871,0.000237,-0.000441,-16.833651,7.518709,326.849060
36,0,0.000731,0.000149,-0.000453,-16.835981,7.517666,326.861450
37,0,0.000795,0.000151,-0.000474,-16.825241,7.522151,326.863129
38,0,0.000645,0.000276,-0.000520,-16.812529,7.512663,326.859558
39,0,0.001257,0.000311,-0.000585,-16.803885,7.504354,326.833710
40,0,0.001031,0.000287,-0.000570,-16.799202,7.506211,326.828094
41,0,0.001006,0.000307,-0.000698,-16.799427,7.510999,326.848114
42,0,0.000847,0.000289,-0.000690,-16.804121,7.517225,326.861237
43,0,0.000911,0.000249,-0.000698,-16.809256,7.516778,326.876953
44,0,0.000930,0.000324,-0.000633,-16.805656,7.512773,326.863770
45,0,0.000942,0.000354,-0.000639,-16.793316,7.506107,326.848816
46,0,0.000708,0.000301,-0.000635,-16.785074,7.505845,326.826111
47,0,0.000728,0.000343,-0.000620,-16.785061,7.508056,326.831909
48,0,0.000648,0.000328,-0.000535,-16.788408,7.510964,326.837433
49,0,0.000659,0.000254,-0.000483,-16.798018,7.520256,326.843903
50,0,0.000884,0.000309,-0.000481,-16.798119,7.513526,326.853638
51,0,0.000894,0.000266,-0.000420,-16.813274,7.521142,326.850250
52,0,0.000768,0.000325,-0.000448,-16.805182,7.519371,326.848267
53,0,0.000931,0.000202,-0.000408,-16.791374,7.519965,326.837921
54,0,0.000741,0.000352,-0.000432,-16.789383,7.524405,326.848633
55,0,0.000832,0.000273,-0.000461,-16.780943,7.527760,326.837524
56,0,0.000740,0.000318,-0.000496,-16.792614,7.530751,326.848907
57,0,0.001048,0.000360,-0.000540,-16.791281,7.538661,326.836609
58,0,0.001005,0.000281,-0.000561,-16.793411,7.539624,326.846710
59,0,0.000454,0.000266,-0.000563,-16.793407,7.552045,326.854889
60,0,0.000757,0.000395,-0.000635,-16.798677,7.551567,326.849823
61,0,0.000854,0.000277,-0.000615,-16.798775,7.552621,326.849152
62,0,0.000755,0.000326,-0.000567,-16.813578,7.549951,326.844940
63,0,0.000708,0.000224,-0.000615,-16.811871,7.554441,326.839630
64,0,0.000685,0.000242,-0.000589,-16.813713,7.554598,326.838959
65,0,0.000580,0.000254,-0.000533,-16.813709,7.559501,326.838684
66,0,0.000810,0.000260,-0.000496,-16.822449,7.557980,326.853546
67,0,0.000891,0.000308,-0.000423,-16.821243,7.552106,326.862823
68,0,0.000897,0.000242,-0.000449,-16.817749,7.553858,326.859863
69,0,0.000877,0.000211,-0.000438,-16.808561,7.549434,326.857391
70,0,0.000567,0.000264,-0.000495,-16.801952,7.544871,326.854431
71,0,0.000579,0.000278,-0.000477,-16.801741,7.542045,326.855408
72,0,0.000659,0.000217,-0.000470,-16.799755,7.547003,326.859283
73,0,0.000726,0.000283,-0.000497,-16.795504,7.545223,326.847290
74,0,0.000634,0.000242,-0.000506,-16.801765,7.537605,326.835327
75,0,0.000888,0.000231,-0.000502,-16.790966,7.531804,326.837463
76,0,0.000931,0.000239,-0.000535,-16.789677,7.522140,326.831177
77,0,0.000559,0.000281,-0.000560,-16.789709,7.519849,326.836334
78,0,0.000758,0.000294,-0.000537,-16.782606,7.522307,326.860809
79,0,0.000962,0.000284,-0.000547,-16.775625,7.519845,326.851715
80,0,0.000723,0.000323,-0.000514,-16.769136,7.511157,326.846497
81,0,0.000935,0.000360,-0.000544,-16.782377,7.508560,326.836273
82,0,0.000855,0.000304,-0.000511,-16.782366,7.507942,326.845642
83,0,0.000834,0.000330,-0.000494,-16.784883,7.503351,326.849274
84,0,0.000785,0.000377,-0.000475,-16.780394,7.499462,326.859741
85,0,0.001041,0.000316,-0.000468,-16.780720,7.493098,326.841827
86,0,0.000882,0.000306,-0.000484,-16.791109,7.498104,326.830658
87,0,0.000720,0.000372,-0.000440,-16.803183,7.492779,326.828522
88,0,0.000822,0.000366,-0.000412,-16.811159,7.496317,326.838989
89,0,0.000913,0.000358,-0.000483,-16.816822,7.493883,326.852509
90,0,0.000837,0.000297,-0.000492,-16.822969,7.504651,326.875977
91,0,0.000648,0.000169,-0.000504,-16.821617,7.511140,326.879639
92,0,0.000971,0.000129,-0.000504,-16.820734,7.510002,326.865692
93,0,0.000596,0.000240,-0.000602,-16.811882,7.510437,326.829773
94,0,0.000937,0.000216,-0.000597,-16.811699,7.508883,326.809357
95,0,0.000839,0.000273,-0.000639,-16.804655,7.516323,326.826569
96,0,0.000776,0.000323,-0.000631,-16.813169,7.534410,326.853851
97,0,0.000626,0.000317,-0.000616,-16.808149,7.543430,326.874481
98,0,0.000797,0.000239,-0.000581,-16.819752,7.538352,326.859161
99,0,0.000705,0.000305,-0.000557,-16.813354,7.539258,326.835144
100,0,0.001031,0.000419,-0.000547,-16.806599,7.548698,326.831177
101,0,0.000832,0.000357,-0.000552,-16.802137,7.546383,326.832825
102,0,0.000681,0.000289,-0.000548,-16.800905,7.549000,326.830750
103,0,0.000633,0.000335,-0.000506,-16.799337,7.564964,326.847046
104,0,0.000754,0.000193,-0.000491,-16.804605,7.563375,326.842621
105,0,0.000727,0.000249,-0.000497,-16.807325,7.565712,326.841858
106,0,0.000564,0.000280,-0.000518,-16.793840,7.572406,326.839539
107,0,0.000653,0.000324,-0.000534,-16.778984,7.571941,326.839294
108,0,0.000783,0.000342,-0.000517,-16.770315,7.567777,326.841461
109,0,0.000522,0.000288,-0.000483,-16.762327,7.561997,326.831177
110,0,0.000879,0.000296,-0.000551,-16.757343,7.558278,326.833038
111,0,0.000954,0.000178,-0.000536,-16.757727,7.562831,326.827240
112,0,0.000992,0.000308,-0.000538,-16.763582,7.561201,326.837891
113,0,0.000645,0.000294,-0.000578,-16.762991,7.565259,326.858917
114,0,0.000621,0.000271,-0.000547,-16.759041,7.563478,326.862701
115,0,0.000332,0.000320,-0.000616,-16.755110,7.556023,326.849457
116,0,0.000701,0.000374,-0.000604,-16.751867,7.543150,326.827362
117,0,0.000706,0.000316,-0.000521,-16.768969,7.541019,326.827393
118,0,0.000624,0.000300,-0.000628,-16.771955,7.528448,326.809723
119,0,0.000841,0.000193,-0.000508,-16.772928,7.518878,326.816772
120,0,0.001105,0.000293,-0.000536,-16.781284,7.522138,326.827179
121,0,0.001000,0.000299,-0.000534,-16.777966,7.516009,326.836060
122,0,0.000792,0.000328,-0.000491,-16.779358,7.514876,326.847351
